Question,Option_A,Option_B,Option_C,Option_D,Answer
Which scientist discovered nucleic acid?,1869 Johann Friedrich Miescher,1920 M.E.Labashev,1866 G. Mendel,1920 Koltsov,A
Which scientists officially confirmed the origin of the work of G. Mendel and genetics?,"1869 Friedrich Miescher, De Vries, Cermak","1900 De Vries, Cermak, Karl Correns","1900 De Vries, Chermak, Astaurov","1869 Friedrich Miescher , Astaurov",B
What association of Russian eugenicists was created under the leadership of scientists?,1918 Miescher,1918 M.E.Labashev,1920 Rings,1920 De Vries,C
have misconceptions that people with bad behavior and bad habits in society should not leave offspring?,Koltsov and his friends,Friedrich Miescher and his friends,Astaurov and his friends,M.E.Labashev and his friends,A
Which scientists discovered the helical shape of DNA and thereby made a huge breakthrough in genetics?,"1869 Friedrich Miescher , Astaurov",1920 Koltsov,1953 Watson and Crick,"1900 De Vries, Cermak, Karl Correns",C
Which scientists studied the transmission of genes from one generation to another on chromosomes?,Morgan and his students J. Muller and A.G. Sturtevant,"Morgan, Watson and Crick","De Vries, Cermak, Karl Correns","Friedrich Miescher , Astaurov",A
"Which scientist was awarded the Darwin Order in 1924, a member of the US National Academy in 1909, its President in 1927-1931, and the Nobel Prize in 1933?",Misher,De Vries,Morgan,Mendel,C
What method is used to study the patterns of appearance of signs in the first and subsequent joints where organisms are intertwined.,Ontogenetic,Cytogenetic,Immunogenetics,Hybridization,D
"Which method, based on a combination of cytological and genetic methods, is used to study chromosomes in a cell.",Ontogenetic,Molecular genetics,Hybridization,Cytogenetic,D
"What method can be used to solve problems of karyotype, sex chromatin, chromosomal mutations, chromosome mapping, genome origin?",Ontogenetic,Hybridization,Cytogenetic,Immunogenetics,C
What method is used to study the production of traits by genes during the individual development of organisms?,Ontogenetic,Hybridization,Immunogenetics,Cytogenetic,A
How can the history of the development of genetics be divided into periods?,Classics (1900-1930) and synthetics 1954,"Classic (1900-1930), neoclassicism (1930-1953) and synthetics 1954","Classic (1900-1930), neoclassicism (1930-1953)",Neoclassicism (1930-1953) and synthetics 1954,B
"Which period of genetics begins in 1900, when three scientists, independently of each other, rediscover the laws of heredity in three different states, namely, G. de Vriese, K. Correns and K. Cermak in different organisms?",Classic period,Neoclassicism,Synthetic,Evolution,A
"Which scientist coined the terms ""gene"", ""genotype"" and ""phenotype""?",A. Korenberg In 1909,O. Avery In 1909,SGLevit In 1909,V. Johansen In 1909,D
Which scientists together created the chromosomal theory of heredity that underlies modern genetics?,"A. Sturtevant, C. Bridges, O. Avery 1909-11","T. Morgan , A. Sturtevant, K. Bridges , G. Mellerlar 1909-11","S.G. Levit, A. Sturtevant, K. Bridges, Mendel 1909-11","A. Korenberg, A. Sturtevant, K. Bridges, T. Morgan 1909-11",B
"Works whose scientists firmly linked genetics with the theory of evolution formed the basis of the synthetic theory of evolution: 1-S.S. Chetverikov, 2-N.P. Dubinin, 3-D.D. Romashov, 4-D.D. Holden, 5-S.Wright, 6-F.G.Dobryansky, 7-N.V. Timofeev - Resovsky","1,2,3,4,5,6,7","1,2,3,4,5","1,4,5,6,7","1,2,3,4,7",A
Which scientists made significant contributions to the development of human genetics and medical genetics?,Everything is correct,"V.P.Efroimson, A.A.linovsky","S.G. Levit, S.N. Davidenkov","S.N. Ardashnikov, A.A. Prokofieva - Belgovskaya.",A
Who is the founder of medical genetics in the CIS countries?,S.Zh.Levit,O. Avery,S.N. Davidenkov,A. Korenberg,A
"The scientist who developed neurogenetics, determined the heterogeneity of hereditary diseases, was one of the first who attached great importance to medical genetic counseling.",S.N. Davidenkov,O. Avery,A. Korenberg,SGLevit,A
"By 1944, scientists had proven that the transmission of genetic information in microorganisms is associated with nucleic acids (DNA), thereby proving that the material basis of heredity is the DNA molecule, not protein.","S.N. Ardashnikov, A.A. Prokofieva - Belgovskaya.","V.P.Efroimson, A.A.linovsky","O. Ever, K. McLeod and M. McCarthy","S.G. Levit, S.N. Davidenkov",C
Which American biochemist discovered the rule of complementarity of purine and pyrimidine bases?,E. Chargaff,Astaunov,M.E.Labashev,A. Korenberg,A
"When did any scientist discover the enzyme involved in DNA synthesis, DNA polymerase?",M.E.Labashev in 1956,E. Chargaff in 1958,A. Korenberg in 1956,S. Benzer In 1958,C
When did French scientists discover the operon principle of gene structure and the mechanism for regulating the activity of bacterial genes?,S. Benzer and A. Korenberg In 1951,E. Chargaff and M.E. Labashev In 1961,F. Jacob and J. Monod in 1961,"A. Korenberg, A. Korenberg In 1951",C
Identify the tiny parts of a gene in modern gene theory.,"Genes, chromosomes, genomes (genotypic)","Systron, Mouton, recon","Genes, chromosomes","Sistron, scout",B
How many different levels of genetic material are there in eukaryotic organisms?,1. gene level; 2. Genomic (genotypic) level,1. gene level; 2. Chromosome level,1. Chromosomal level; 2. Genomic (genotypic) level,1. Gene level; 2. chromosomal ; 3. Genomic (genotypic) level,D
"According to this scientist, the gene consists of very small parts: the cistron, the mouton and the recon.",E. Chargaff,A. Korenberg,S. Benzer,Astaunov,C
What is the smallest part of a gene that can be modified?,Mouton,Recon,Chromatid,Sistron,A
"When any scientist observed the phenomenon of staged alleles by exposing a Drosophila fly to X-rays and proved that a gene was made up of tiny parts, i.e. that the gene can be divided?",S. Benzer In 1929,A. Korenberg In 1929,A.S. Serebrovsky in 1929,Astanov in 1929,C
"Determine the properties of the gene: 1. The discreteness of the effect is controlled by different genes, different genes located on different chromosomes; 2. The gene is stable - in the absence of mutation, it is passed on from generation to generation without changes; 3. Specificity of gene action - controls one gene, one trait or group of traits; 4. The pleiotropy gene allows several traits to develop simultaneously.","1,2,3","1,2,3,4","1,2,4","2,3,4",B
Indicate the laws of inheritance of traits. 1- Law of homogeneity of first generation hybrids 2- Law of separation of characteristics in second generation hybrids 3- Law of independent distribution of genetic factors (genes) 4- Chargaff’s Law,"1,2,3","1,2,4","2,3,4","1,3,4",A
What genes cause the death of the body?,Lethal,Hypostatic,Inhibitor,Suppressor,A
"When inherited, the complementary genotype AaBB indicates what shape the pumpkin fruit is",Long,Disc-shaped,Round,Triangle,B
What is genetic variation?,To variability that is not associated with changes in the genotype of the organism and persists for several generations.,Towards variability arising under the influence of crossover during meiosis,Variability not associated with a change in genotype occurring under the influence of the external environment.,Variability associated with changes in the genotype of an organism and persisting for several generations.,D
What kind of disease of the hands,Syndactyly,Microcephaly,Polydactyly,Acrology,A
What is polyploidy,To the number of homologous chromosomes,Reducing the number of chromosomes,Increase in the number of chromosomes,Towards the interaction of chromosomes,C
The scientist who proved that the transformation of strain R into strain S depends on a DNA molecule?,Bonne,F. Griffith,G. Georgiev,Avery,D
Find the answer given by chromosomal diseases. 1-Phenylketonuria 2-Down syndrome 3-Albinism 4-Shershevsky-Turner 5-Hemophilia 6-Color blindness 7-Klinefelter,1.2.4.7,2.4.7,1.3.5.6,2.4.6.7,B
Identify genetic diseases associated with the sex X chromosome.,"Hemophilia, color blindness","Microcephaly, phenylketonuria","Albinism, color blindness","Hemophilia, syndactyly",A
Which people have Down syndrome?,Only for women,For all people,Only for small children,Only for men,B
Which scientists substantiated the chromosomal theory of heredity?,"T. Boveri, W. Setton","Hugo de Vries, V. Johansen","V. Johannsen, W. Setton","E. Wilson, Hugo de Vries",A
Find the answer given by genetic diseases. 1-Phenylketonuria 2-Down syndrome 3-Albinism 4-Shershevsky-Turner 5-Hemophilia 6-Color blindness 7-Klinefelter,2.4.7,1.3.5.6,1.2.4.7,2.4.6.7,B
Name the scientist who called the science of heredity and variability genetics.,"In 1908, Hugo de Vriese",In 1906 V. Johansen,In 1906 W. Betson,In 1908 E. Wilson,C
"What are the names of organisms formed by mixing forms that differ in three, four or more stable characteristics?",Polymer,Poly hybrid,Additional,Diduragai,B
Enzymes that break down fats,Lias,Transferases,Lipases,Anhydrazas,C
What vitamins are synthesized in human skin under the influence of ultraviolet radiation?,Vitamin A,Vitamin D,Vitamin C,Vitamin B,B
Modifier genes……….,Genes that increase or decrease the activity of major genes influencing traits,The influence of genes that are not alleles in the genotype together on the development of a new trait,Dominance of one dominant gene over another non-allelic dominant gene,Unilateral effect of allelic and non-allelic genes,A
What does the amount of crossing over mean?,Distance between genes,Organism aggregation group,Number of organisms resulting from crossover,Are genes dominant or recessive?,A
Which scientist was able to create an artificial taxonomy of plants and animals?,N.I.Vavilov,J.B. Lamarck,K. Lynn to her,Sechenov,C
What kind of reproduction does not change the constancy of the number of chromosomes when changing generations?,Mitosis,Parthenogenesis,Meiosis,Amitosis,C
How many amino acids are in the hemoglobin protein chain?,143,145,142,141,D
Find a characteristic of the law of gamete purity.,One character completely dominates another character,Gametes have only one of the allelic genes in their genotype.,The organism is homozygous,The genotype of an organism consists of the same allele.,B
In what proportions does phenotypic division occur in F2 in a dihybrid cross?,"9:3:3:1, 3:6:3:1:2:1",9:3:3:1,1: 2: 2: 4: 1: 2: 1: 2: 1,"3:1, 1:2:1",B
Which scientists rediscovered Mendel's laws? 1) Morgan 2) De Vries 3) Correns 4) Nilsson Ehle 5) Miller 6) Cermak,"2,3,4","4,5,6","2,3,6","1,2,4",C
Mendel's third law,Law of Character Separation,Law of Homogeneity,Law of gamete purity,Law of independent inheritance of characters,D
Which scientists invented the chromosome theory? 1) Morgan 2) Bridges 3) Sturtevant 4) Meller 5) Mendel 6) Nadson 7) de- Frieze,"1,2,3,4","4,5,6,7","3,4,6,7","2,4,5,6",A
"If a diheterozygous hybrid is crossed with a recessive homozygous organism, in what proportion will the next generation be divided by genotype?",3:1,1: 2: 2: 4: 1: 2: 1: 2: 1,1:2:1,1:1:1:1,D
What are simple organic compounds with small molecules called?,Amino acid,Fermentation,Monomer,Macromolecule,C
What disease has 45 chromosomes?,Shershevsk ogo- Turner a,Klinefelter syndrome,Down,Microcephaly,A
At what phase of meiosis does the crossing over process occur?,Metaphase I,Metaphase II,Prophase I,Prophase II,C
The dominance of one allelic gene over another gene is called ……….,Polymer,Pleiotropy,Epistasis,Additional,C
Which of these diseases are hereditary?,"Plague, cancer, smallpox","Epilepsy, cretinism, hemophilia","Tuberculosis, measles, smallpox","Rickets, caries, dysentery",B
"In monohybrid hybridization, in what ratios is F2 subjected to genotyping?",3:1,eleven,1:2:1,2:1,C
Who discovered the law of similarity of embryos?,AOKovalevsky,"E. Heckel, FMüller",K.Ber,A.N.Severtsev,C
What is the phenomenon between telophase I and prophase II called ?,Cytokinesis,Mitosis,Interkinesis,Interfacial,C
At what stage of interphase does the number of cell centers double?,After synthesis (G2),During synthesis (S),Prophase,Before synthesis (G1),B
Which stage of mitosis is not observed?,Metaphase,Interkinesis,Cytokinesis,Prophase,B
What organisms reproduce by parthenogenesis?,"Small crustaceans, male bees","Female bees, crayfish","Butterflies, flies","All simple animals, chokers",A
What are the different chromosomes in men and women called?,Hemizogotes,Heterozogy,Sex chromosomes,Autosomes,C
How many types of interspecies relationships are there?,"2 types Antibiosis, symbiosis","2 types: predation, parasitism.","2 types: endogenous, exogenous","3 types: synocism, mutualism, commensalism.",A
What do you mean by antibiosis?,Two species can live together and die together.,"The inability of two species to live together, i.e. competition for food",Coexistence of all types of organisms,"Competition for space, not food",B
Symbiosis is......,Failure of two species to live together,Life together,Type of food competition,Type of competition for place and food,B
How many types of symbiosis are there?,"2 types: endogenous, exogenous","Type 2: temporary, permanent","2 types: synergism, antagonism","2 types: active, inactive (passive)",C
Find examples of a suitable form of antibiotic?,Bacteriophages and unicellular algae,Saprophytic bacteria and molds,Yeast fungus and perennial plant,Cyanobacteria and lichens,B
How many types of synergy is the form available?,"3 types: synocism, mutualism, commensalism.","2 types: endogenous, exogenous","2 types: predation, parasitism.","2: Antibiosis, symbiosis",A
What is a rental property called?,Mutualism,Commensalism,Sinoikia,Parasitism,C
What does it mean to live in a mutually beneficial partnership?,Commensalism,Mutualism,Parasitism,Sinoikia,B
What's it like to live free of food waste?,Parasitism,Sinoikia,Mutualism,Commensalism,D
Find an example of Synocynia?,"Bent head worm, schistosomiasis",living in rodent nests.,of bacteria E. coli in humans,Oral and intestinal amoebas,B
Find an example of mutualism?,"Bent head worm, schistosomiasis",Occurs in E bacteria . coli in humans,Oral and intestinal amoebas,Iskabtopar living in a rodent nest,B
Found an example of commensalism?,of bacteria E. coli in humans,Oral and intestinal amoebas,"Bent head worm, schistosomiasis",Iskabtopar living in a rodent nest,B
What does medical parasitology study?,Various diseases that occur in humans,Methods for combating human genetic diseases,"Parasites found in humans, the diseases they cause and how to combat them",Ways to combat diseases that occur in animals,C
How many different forms of antagonism are there?,"2 types: predation, parasitism.","2 types: predation, parasitism","3 types: predation, parasitism, symbiosis","2 types: predation, parasitism.",B
What form of antagonism is observed is a food bond that kills prey and uses it as a food source.,Sinoikia,Predation,Parasitism,Mutualism,B
What form of antagonism occurs when one species uses another as a food source and habitat.,Predation,Parasitism,Sinoikia,Mutualism,B
"Name the scientists who contributed to the development of parasitology? 1.V.A. Dogel 2.E.P. Pavlovsky, 3.INMarsinovsky, 4.K.I.Skryabin, 5.V.N.Beklemishev, 6.N.A.Kholodkovsky, 7-Virkhov","1,2,3,4,5,6","1,2,3,5,6,7","1,2,3,6,7","3,4,5,6,7",A
How are diseases classified by etiology?,"Endogenous, exogenous",Temporary permanent,Mono and polyphagous,"Active, inactive",A
Endogenous feature?,A biological phenomenon is the coexistence of two species.,The disease is based on anomalies in the structure and function of the hereditary apparatus.,"Having a different nature, it is caused by injuries (injuries), eating disorders, vitamin deficiency.",Living harmlessly through food waste,B
Exogenous feature?,A biological phenomenon is the coexistence of two species.,The disease is based on abnormalities in the structure and function of the hereditary apparatus.,"It has a different nature and occurs due to injuries, eating disorders, and vitamin deficiencies.",Living harmlessly through food waste,C
What diseases are caused by living organisms?,"Infectious, parasitic","Active, inactive",Temporary permanent,Mono and polyphagous,A
What causes infectious diseases?,"Simple animals, spirochetes, algae, amoebas","Viruses, bacteria, spirochetes, rickettsia and fungi","Animal parasites, spirochetes, rickettsia","Ungulates, spirochetes, bacteria",B
How many species of parasites are currently known?,About 6000,About 600,"About 60,000",About 60,C
"If there are currently about 60,000 species of parasites, how many of them parasitize the human body?",More than 1000,More than 1500,More than 150,More than 100,A
What are the main areas of medical parasitology?,"3: medical ethology, medical helminthology, medical arachnoentomology","3: medical protozoology, medical helminthology, medical arachnology.","3: medical protozoology, medical entomology, medical ethology","3: medical protozoology, medical helminthology, medical arachnoentomology.",D
In which branch of medical parasitology is the study of parasitic worms?,Medical protozoology,Medical helminthology,Medical ethology,Medical arachnoentomology,B
What does medical arachnoentomology study?,"Simple animals and insects that cause and spread diseases, and methods of combating them","Worms, simple animals and methods of controlling them that cause and spread diseases",Spiders and worms that cause and spread diseases and how to combat them,"Spiders and insects that cause and spread diseases, and methods of combating them.",D
Which process is characterized by antagonistic interaction between coexisting organisms.,Sinoikia,Predation,Parasitism,Mutualism,C
"What parasitism is an accidental condition in which an organism of a species that lives freely in nature accidentally enters the host's body and becomes temporarily parasitic (for example, a leech parasitizes the nasal cavity or larynx of a person).",Real,Optional,Bond,False,D
What parasitism is a feature of a species that appeared in the process of evolution.,true,Lie,Optional,Bond,A
"What kind of parasitism is that some organism of a species, living freely in nature, accidentally enters the host’s body and temporarily becomes a parasite.",Optional,optional,Bond,Real,B
"Which parasitism is a parasitic way of life for this species, most of the life of parasites is connected with the host organism, and parasitism is a feature of the species for them.",Lie,Real,Obligate,Optional,C
Which groups are divided according to the period of interaction between host and parasite?,Mono and polyphagous,Active and inactive,"Ectoparasite, endoparasite",Temporary and permanent _,D
What parasites spend most of their lives in the host's body?,Active,Temporary,Inactive (passive),Constant,D
"What parasites spend most of their life in a free external environment, and spend part of their life in contact with the host organism, which mainly occurs during feeding.",Inactive (passive),Constant,Active,Temporary,D
What groups are persistent parasites divided into? 1- Stationary permanent parasite 2- Periodic permanent parasite 3-Laural parasite 4-Imaginal parasite,"1,2,3,4","2,3,4","1,3,4",3.4,A
What groups of parasites are divided depending on their location in the host’s body?,Mono and polyphagous,"Ectoparasite, endoparasite",Temporary permanent,Active and passive,B
There are ectoparasites,Parasitizes inside the muscles,Parasites on the external surface of the host's body,Parasites inside the stomach,Those who live in the body of the master,B
Find parasites that are not ectoparasites?,Bed bugs,Flukes,Lice,flies,B
Endoparasites are,Those who live inside the host's body,Parasites on the external surface of the host's body,Parasites on the outside of the stomach,Parasitizes outside the muscles,A
Find an organism that is not an endoparasite?,Trixinella,Toxoplasma,Bed bugs,Suckers,C
What are the names of microorganisms and animals that can cause disease?,Pathogenic organism,Nopathogenic organism,Mixotrophic organisms,Heterotrophic organisms,A
What organisms cannot cause disease?,Pathogenic organism,heterotrophic organisms,Non pathogenic _,mixotrophic organisms,C
What groups of diseases are infectious diseases divided into?,Temporary permanent,Invasive and infectious,Mono and polyphagous,"Active, inactive (passive)",B
What are diseases caused by parasites called?,Temporary,Constant,Active,invasive,D
"What diseases are caused by bacteria, rickettsia, spirochetes, viruses, fungi?",Infection,Constant,Inactive,Temporary,A
What is infection of the body by animal parasites?,Infection,Infestation,Autoreinvasion,Auto invasion,B
Identify the methods of invasion?,Temporary permanent,"Ectoparasite, endoparasite",Active and passive,Mono and polyphagous,C
Indicate the organisms that actively penetrate the body of the host parasite.,"Human lice, human roundworms","crooked head, schistosomiasis","Mosquitoes, cat sucker liverworts",Tsetsi mosquito (Glossina palpalis),B
The parasite passively enters the body through:,Through the soil,Through the wind,By plane,"Through water, food",D
"If the egg or larva of a parasite continues to develop inside the host without leaving its host, then what is the parasite infection called in this way.",And they have toinvasion,Graft,Autoreinvasion,Reinvasion,A
Give an example of car invasion,Tapeworm eggs develop outward.,Dwarf tapeworm develops in the patient's intestines without leaving the outside.,Echinococcus eggs develop outward,Human roundworm eggs develop from eggs,B
This is called when a parasite leaves its host and reinfects itself.,Auto invasion,And they have thoreinfestation,Graft,Reinvasion,B
What is called reinfection of the disease.,Autoreinvasion,Graft,Auto invasion,Reinfestation,D
Indicate the methods of transmission of pathogens?,"Inoculation, contamination",Mono and polyphagous,Invasion and infestation,"Active, inactive",A
Death of parasites when sucking blood through a “contaminated” mouthparts or saliva,Transmissible,Pollution,Inoculation,Reinvasion,C
Identify organisms transmitted by inoculation.,"Bent head worm, schistosomiasis","Human lice, human roundworms","Mosquitoes, cat sucker liverworts","Malaria, trypanosoma",D
"What is the name for transmission of the parasite through the feces of carriers, as well as the hemolymph?",Transmissible,contamination,Graft,Reinvasion,B
"According to the definition of Academician E.N. Pavlovsky, diseases that are transmitted by blood-sucking arthropods are called diseases.",transmission,Pollution,Reinvasion,Graft,A
What groups can vector-borne diseases be divided into?,About ligate and facultative,"Active, inactive",Temporary permanent,Mono and polyphagous,A
Which group of vector-borne diseases differ depending on the specific relationship between pathogen and host?,"Zoonosis, anthropozoonosis, anthroponosis","Plague, leishmaniasis","Trichomonodosis, amyobiosis","Giardiasis, enteribiasis, hymenolipidosis",A
Zoonoses are,Monitoring the disease in humans only,Plant diseases only,Animal diseases only,Diseases common in humans and animals.,C
Anthroponoses are,Diseases common in humans and animals.,Animal diseases only,Plant diseases only,diseases only in humans,D
Identify zoonoses?,Bird fever,"Trichomonodosis, amyobiosis","Plague, leishmaniasis","Giardiasis, enteribiasis",A
Identify anthropozoonotic diseases?,"Trichomonodosis, amyobiosis","Giardiasis, hymenolipidosis","Avian fever, trichomoniasis, amoebiasis","Plague, leishmaniasis",D
What term means a group of parasites belonging to different species living in the same organ or organism at the same time.,Biocenosis,Biogeocenosis,Parasitocenosis,Zoocenosis,C
Who coined the term parasitocenosis?,V.N. Beklemishev,E.N. Pavlovsky,V.A. Dogel,K.I. Scriabin,B
What are the features of parasitocenosis?,Diabliosis is 2-3 times less common in people with diphyllobothriasis and hymenolipidosis.,"If there are roundworms or crooked worms in the intestines, infection with giardiasis increases 2-4 times.",Bacteria increase fungal transmission,"Bacterial dysentery, tuberculosis, Botkin's disease and diarrhea are severe forms in children with helminthiasis.",D
Resistance of parasites to the response of the host immune system.,Tissue fluid parasites are protected because there are 5 times fewer antibodies in tissue fluid than in serum.,Both plasma antibodies and cellular immune mechanisms influence intestinal parasites.,Tissue fluid parasites are protected because antibodies in tissue fluid are 5 times higher than in serum.,"Although parasites have a cuticle, it does not protect them from immune factors.",A
Which protozoan changes the structure of its outer shell antigen as a result of the emergence of new populations as a result of natural selection?,Qin Trichomonas,Malarial parasites,Mosquito tse-tsesi,Trypanosoma,B
"As a result of differentiated gene activity, the antigenic structure of which parasites gradually changes?",Trypanosoma,Malarial parasites,Qin Trichomonas,Mosquito tse-tsesi,A
The resistance of parasites to the reaction of the host’s immune system is due to:,"mimicry, change in the outer shell, structure of the antigen","They do not synthesize antigens similar to host proteins, so the body cannot recognize them as a foreign substance.",Simple animal parasites do not change the structure of their outer shell antigen.,"Most intracellular parasites are not affected by host antibodies, intermediate antibodies, or reservoir antibodies.",A
Determine what processes occur during parasitism at the organism level. 1- Harm to the body 2- Does not harm the body 3- Can cause death of the host organism 4- Reduces the body’s vital functions 5- Increases the body’s vital functions,"1,3,4","2,3,4","1,3,4","2,3,5",A
What do you mean by environment?,The limit of resistance of organisms,Limiting Factors,A set of elements that affect the body,The limit of optimism of organisms,C
What property of organisms is assimilated in different environments?,The limit of optimism,Limiting factor,Tensile strength,Environmental valency,D
Which organisms have a narrow ecological valency?,Eurytope,Climate,Stenotop s,Edaphotope,C
Which organisms have broad ecological significance?,E vrito p,Climate,Edaphotope,Stenotop,A
What is the name of any component of the environment that affects living organisms?,Biotic factor,Anthropogenic factor,Abiotic factor,Environmental factor,D
"What factors are the sum of inorganic natural conditions, including soil, climate, topographic and other physical factors?",Ecological,Anthropogenic,Biotic,Abiotic,D
What factors influence the interaction of living organisms with each other and with the environment?,Anthropogenic,Ecological,Biotic,Abiotic,C
What factors are involved in human activity?,Abiotic,Ecological,Biotic,Anthropogenic,D
"According to the relationships of organisms, which of them has forms such as mutualism, synocytism and commensalism?",Symbiosis,Neutralism,Parasitism,Antibiosis,A
"Depending on the relationship between organisms, in which case do both or one of the two organisms benefit from living together?",Parasitism,Mutualism,Symbiosis,Antibiosis,C
"Depending on the interaction of the organisms, which one - one or both of the two organisms living together - will be affected?",Antibiosis,Symbiosis,Mutualism,Parasitism,A
"According to the interactions of organisms, which of them have forms such as mutual competition, parasitism and predation?",Mutualism,Neutralism,Antibiosis,Symbiosis,C
"According to the interaction of organisms, in which of them living organisms do not influence each other?",Neutralism,Mutualism,Antibiosis,Symbiosis,A
"What factors include all living organisms - microorganisms, plants and people - that interact and interact with each other?",Biotic,Anthropogenic,Abiotic,Ecological,A
Specify methods for studying ecology.,"Field, mathematical modeling, experimental","Field, environmental experiments, mathematical modeling","Ecological experiments, mathematical modeling","Field, environmental experiments, experimental",B
"What method is used to study a population, the influence of the sum of environmental factors, the general state of development and survival of a species under certain conditions?",Experimental methods,Mathematical modeling method,Method of ecological experiments,Field method,D
What method is used to study the influence of certain factors on the development of an organism?,Mathematical modeling method,Experimental methods,Dahl method,Methodology of environmental experiments,D
Which method allows you to predict the survival and future of an ecosystem. Is a computer used when implementing this method?,Mathematical modeling method,Experimental methods,Dahl method,Method of ecological experiments,A
Identify the main functions of ecosystems.,Carbon cycle,Periodic metabolism and energy flow,Biotic cycle,Nitrogen cycle,B
What is the amount of biomass energy?,"Consumers of the 1st , 2nd , 3rd order","Manufacturers, consumers and gearboxes","Manufacturers, gearboxes","Consumers, gearboxes",B
"By what rule is there an increase in energy consumption at each food level of the food chain, a decrease in the number of individuals and productivity by approximately 10 times?",Biogeocenosis,Biocenosis,Biosphere,Ecological pyramid,D
Indicate the composition of ecosystems. 1-abiotic factors 2-Autotrophs (producers) 3-Heterotrophs (consumers) 4-destructor (reducers),"1,3,4","2,3,4","1,2,4","1,2,3,4",D
"What science studies the patterns of emergence, survival and development of anthropoecological systems?",Anthropology,Geography,Ecology,Human ecology,D
What problems does human ecology solve? 1- natural-scientific problems 2- social problems 3- philosophical problems 4- geographical problems 5- technological-artificial problems,"1,3,4,5","1,2,4,5","2,3,4,5","1,2,3,4",D
What is the main reserve and reason for the emergence of adaptive types?,variability,Heredity,Population,Mutation,A
"What is relevant to this answer: it does not depend on races, they are populations whose gene pool is adapted to certain living conditions.",Tropical adaptive type,Toggle responsive type,Adaptive types,Arctic adaptive type,C
At what time do adaptive type indicators begin to appear?,Embryogenesis period,Epigenesis,Proembryogenesis,Postembryogenesis,A
What adaptive type is formed in people in cold climates and the abundance of animal products in the food they consume?,Tropical adaptive type,Arctic adaptive type,Desert is an adaptive type of desert,Toggle responsive type,B
Determine the characteristic features of the Arctic adaptive type: 1 - Bone - well-developed muscular system 2 - Large chest 3 - High hemoglobin in the blood 4 - High mineral content in the bones 5. Low blood cholesterol. 6-lipids are highly oxidized 7 Thermoregulation is underdeveloped,"1,2,3,4,7","1,2,3,4,5","1,2,3,4,5,7","1,2,3,4,6",D
"What adaptive type is formed in a hot and humid climate, when the variety of environmental conditions in the diet of animal products is relatively small?",Medium adaptive type,Tropical adaptive type,Desert is an adaptive type of desert,Arctic adaptive type,B
"Indicate the characteristic features of the tropical adaptive type. 1 Variety of somatic indicators (short, tall) 2 Lack of muscle mass 3 Lack of body weight, leg - arm length 4 Low blood cholesterol 5-Slowing basal and fat metabolism 6-Excessive sweating","2,3,4,5,6","2,3,4,6","1,2,4,6","1,2,3,4,5,6",D
"What adaptive type - climatic conditions are formed in regions with a temperate climate. In such areas, seasonal biorhythms are best manifested.",Tropical adaptive type,Toggle responsive type,Medium adaptive type,Arctic adaptive type,C
"In populations belonging to the adaptive type, somatic and metabolic indicators have average values of the characteristics of other adaptive types.",Medium adaptive type,Desert is an adaptive type of desert,Toggle responsive type,Tropical adaptive type,A
"Which geological layer contains 78.08% nitrogen, 20.95% oxygen, 0.93% argon, 0.03% carbon dioxide and very small amounts of helium, neon, methane.",Lithosphere,Troposphere,Atmosphere,Hydrosphere,B
"Which geological layer is a solid layer of earth, 2-5 km deep, below which sedimentary rocks lie.",Atmosphere,Lithosphere,Troposphere,Hydrosphere,B
What organisms were discovered at a depth of 7.5 km during oil drilling in the Mississippi River basin?,Soil bacteria,Aerobic bacteria,Nodule bacteria,Anaerobic bacteria,D
"Which geological layer is the Earth's aquifer and includes permafrost, oceans, seas, lakes and rivers.",Troposphere,Atmosphere,Hydrosphere,Lithosphere,C
Which geological layer makes up 71% of our planet?,Atmosphere,Troposphere,Lithosphere,Hydrosphere,D
"Which scientist proved that the formation of soil on Earth depends not only on climate, but also on living organisms?",Dokuchaev V.V.,E. Zyus,Le Roy,IN AND. Vernadsky,A
"According to which scientist: the biosphere is the distribution of life with organisms, including the environment in which they live",E. Zyus,V.V. Dokuchaev,IN AND. Vernadsky,Le Roy,C
Which scientist was the first to introduce the concept of “living matter” into science?,IN AND. Vernadsky,Le Roy,V.V. Dokuchaev,E. Zyus,A
What is the total mass of living matter in the biosphere called?,Biomass,Zoobiomass,Edaphotope,Phytobiomass,A
Plant biomass on land - what is it called?,Zoobiomass,Edaphotope,Climate,Phytobiomass,D
What is the total biomass of land plant biomass?,99%,78%,93%,92%,A
What percentage of wild animals live on land and what percentage live in water?,"7%, 93%","93%, 7%","8%, 92%","92%, 8%",B
What percentage of plants are adapted to life on land and what percentage are adapted to life in water?,"92%, 8%","7%, 93%","93%, 7%","8%, 92%",A
"What function of living matter in the biosphere is the result of the processes of photosynthesis and respiration, as a result of which the composition of gases in the atmosphere is regulated. The atmosphere created as a result of the activities of living organisms is preserved due to their activities.",Biochemical functions,Concentration function,Redox function,Gas exchange function,D
"What is the function of living matter in the biosphere - living organisms accumulate chemical elements in the environment. Plants absorb elements such as potassium, phosphorus, nitrogen, hydrogen and carbon from the soil and air and incorporate them into organic matter.",Concentration function,Redox function,Gas exchange function,Biochemical functions,A
